Acronym,Authors,Year,LongDescription,Journal,Detailed Definition
betaVIX,Ang et al.,2006,Systematic volatility,JF,Coefficient on daily change in the VIX of a 1-month rolling window regression of daily stock excess returns on market return and the daily change in the CBOE S&P 100 volatility index (downloaded from FRED). Require at least 15 non-missing observations.
BM,"Rosenberg, Reid, and Lanstein",1985,Book to market using most recent ME,JF,Log of annual book equity (ceq) over market equity.
BMdec,Fama and French,1992,Book to market using December ME,JPM,BM using most recent December value of market equity.
BookLeverage,Fama and French,1992,Book leverage (annual),JF,"Total assets (at) divided by book value of equity plus deferred taxes (txditc) and preferred stock. Equity is shareholder equity (seq) if available, or book equity (ceq) plus preferred stock (pstk, if missing pstkrv, if missing pstkl), or total assets minus total liabilities (lt)."
BPEBM,"Penman, Richardson and Tuna",2007,Leverage component of BM,JAR,"BP - EBM, where BP = (ceq + tstkp - dvpa)/(shrout*abs(prc)), and EBM is defined above. Exclude if price less than 5."
Cash,Palazzo,2012,Cash to assets,JFE,Ratio of quarterly cash and short-term investments (cheq) and total assets (atq).
CashProd,Chandrashekar and Rao,2009,Cash Productivity,WP,Calculate market value of equity (mve_c) as absolute price (prc) times number of shares outstanding (shrout). Cash productivity is equal to the difference between mve_c and total assets (at) divided by cash and short-term investments (che).
CBOperProf,Ball et al.,2016,Cash-based operating profitability,JFE,"Revenue (revt) minus cost (cogs) - (administrative expenses (xsga) - R&D expenses (xrd))  minus annual change in receivables (rect), annual change in investment (invt) and annual change in prepaid expenses, plus annual change in current deferred revenue (drc), long-term deferred revenue (drlt), accounts payable (ap) and accrued expenses (xacc), all divided by total assets (at) in year t. Replace all variables in the numerator with 0 if they are missing. Exclude if share code is greater 11, market value of equity, BM or total assets are missing, or if SIC code between 6000 and 6999."
CF,"Lakonishok, Shleifer, Vishny",1994,Cash flow to market,JF,Net income (ib) plus depreciation (dp) divided by market equity. Exclude NASDAQ stocks.
cfp,"Desai, Rajgopal, Venkatachalam",2004,Operating Cash flows to price,AR,"Operating cash-flow (oancf) divided by market value of equity. If operating cash-flow is missing, replace by difference betwee net income (ib) and level of accruals, where the latter is the annual change in current assets (act) minus the annual change in cash and short-term investments (che), minus the annual change in current liabilities (lct) plus the annual change in debt in current liabilities (dlc) plus the annual change in payable income taxes (txp) plus depreciation (dp)."
ChangeInRecommendation,Jegadeesh et al.,2004,Change in recommendation,JF,"keep last ireccd each month, then average across analysts for each firm-month.  Define opscore as 6-ireccd.  Signal is opscore - last month's opscore."
ChAssetTurnover,Soliman,2008,Change in Asset Turnover,AR,Annual change in AssetTurnover (defined above). Exclude if price less than 5.
ChEQ,Lockwood and Prombutr,2010,Growth in book equity,JFR,Ratio of book equity (ceq) to book equity in the previous year. Include only if book equity is positive this year and last year.
ChForecastAccrual,Barth and Hutton,2004,Change in Forecast and Accrual,RAS,"Within upper half of Accruals distribution, equal to 1 if mean earnings estimate increased relative to the previous month. 0 if it decreased."
ChInv,Thomas and Zhang,2002,Inventory Growth,RAS,12 month change in inventory (invt) divided by average total assets.
ChInvIA,Abarbanell and Bushee,1998,Change in capital inv (ind adj),AR,"Growth in capital expenditure (capx) minus average growth in capital expenditure in the same industry (two-digit SIC). If capx is missing, capital expenditure is defined as the annual change in property, plant and equipment (ppent). Capital expenditure growth is defined as the percentage growth of capx today relative to the average capx over the previous two years (.5*(capx$_{t-1}$ + capx$_{t-2}$), or as percentage growth relative to the previous year only if t-2 is missing."
ChNAnalyst,Scherbina,2008,Decline in Analyst Coverage,ROF,"Using IBES forecasts, keep if fpi = 1, fpedats not missing, and fpedats > statpers + 30.  Binary variable equal to 1 if the number of analysts (numest) for next quarter's EPS estimate decreased relative to three months ago, and 0 if it increased.  Keep if in bottom two size quintiles among all firms to match OP's table."
ChNNCOA,Soliman,2008,Change in Net Noncurrent Op Assets,AR,Twelve-month change in noncurrent operating assets. Noncurrent operating assets is ( (at - act - ivao) - (lt - dlc - dltt) )/at.
ChNWC,Soliman,2008,Change in Net Working Capital,AR,Twelve-month change in net working capital. Net working capital is ( (act - che) - (lct - dlc) )/at
ChTax,Thomas and Zhang,2011,Change in Taxes,JAR,"4-quarter change in quarterly total taxes (txtq), scaled by lagged total assets (at)."
CitationsRD,"Hirschleifer, Hsu and Li",2013,Citations to RD expenses,JFE,"Drop obs before 1975.  Set expenses for research and development (xrd) and number of citations (ncit)  to 0 if missing. Calculate Citations to RD as sum of citations over previous 5 years divided by sum of xrd over years $t-3, \ldots, \t-7$.  Drop if denominator = 0,  2 years or less in Compustat, sic in 6000s, ceq < 0.  Double independent sort using (a) size NYSE median (b) terciles of Citations to RD.  Long if in small size, highest tercile of Citations to RD, short if in small size, smallest tercile."
CompEquIss,Daniel and Titman,2006,Composite equity issuance,JF,5 year growth rate of market value of equity minus 5 year stock return.
CompositeDebtIssuance,"Lyandres, Sun and Zhang",2008,Composite debt issuance,RFS,Log of long-term debt (dltt) plus debt in current liabilties (dlc) minus log of the same variable 5 years ago.
ConvDebt,Valta,2016,Convertible debt indicator,JFQA,Binary variable equal to 1 if deferred charges (dc) greater than 0 or common shares reserved for convertible debt (cshrc) greater than 0.
CoskewACX,"Ang, Chen and Xing",2006,Coskewness using daily returns,RFS,"Signal is the sample counterpart of $E[\tilde{r}_{it} \tilde{r}_{mt}^2]/( SD[\tilde{r}_{it} ] SD[\tilde{r}_{mt}]^2$ where $\tilde{r}_{it}$ is the de-meaned stock return and $\tilde{r}_{mt}$ is the de-meaned market excess return.  Signal is computed using the past year of daily data, and using the NYSE CRSP VW index for the market (dsia), with returns continuously compounded.  See code for details."
CredRatDG,Dichev and Piotroski,2001,Credit Rating Downgrade,JF,"A downgrade happens if credit rating (splticrm) decreased by at least one notch relative to the previous month.  CredRatDG = 1 if a downgrade happened over the past 3 months.  OP studies Moody's ratings changes between 1970 and 1997, but our data doesn't begin in earnest until 1986, and our sample definitions apply to returns, and this predictor implicitly averages over the past 6 months."
CustomerMomentum,Cohen and Frazzini,2008,Customer momentum,JF,Based on firms' principals customers from Compustat Segment data as in Cohen and Frazzini.
DelBreadth,"Chen, Hong and Stein",2002,Breadth of ownership,JFE,Quarterly change in the number of institutional owners (numinstowners) from 13F data. Exclude if in the lowest quintile of stocks by market value of equity (based on NYSE stocks only).
DelCOA,Richardson et al.,2005,Change in current operating assets,JAE,"Difference in current operating assets (total current assets (act) minus cash and short-term investments (che)) between years t-1 and t, scaled by average total assets (at) in years t-1 and t."
DelCOL,Richardson et al.,2005,Change in current operating liabilities,JAE,"Difference in current operating liabilities (total current liabilities (lct) minus debt in current liabilities (dlc)) between years t-1 and t, scaled by average total assets (at) in years t-1 and t."
DelEqu,Richardson et al.,2005,Change in equity to assets,JAE,"Difference in book equity (ceq) between years t-1 and t, scaled by average total assets (at) in years t-1 and t."
DelFINL,Richardson et al.,2005,Change in financial liabilities,JAE,"Difference in financial liabilities (sum of long-term debt (dltt), current liabilitites (dlc) and preferred stock (pstk)) between years t-1 and t, scaled by average total assets (at) in years t-1 and t."
DelLTI,Richardson et al.,2005,Change in long-term investment,JAE,"Difference in investment and advances (ivao) between years t-1 and t, scaled by average total assets (at) in years t-1 and t."
DelNetFin,Richardson et al.,2005,Change in net financial assets,JAE,"Compute the sum of short-term investments (ivst) and investments and advances (ivao) minus the sum of long-term debt (dltt), debt in current liabilities (dlc) and preferred stock capital. Divide the difference between the current and one-year lagged sum by total assets (at) averaged over the current and previous fiscal years."
DivInit,"Michaely, Thaler and Womack",1995,Dividend Initiation,JF,"Keep only distcd 2nd digit = 2 or 3.  Define dividend initiation as having paid a dividend in month t (divamt > 0), and not having paid a dividend in the last 24 months.  DivInit is equal to 1 if a dividend was initiated in the past 6 months, and 0 for all other stocks."
DivOmit,"Michaely, Thaler and Womack",1995,Dividend Omission,JF,"Keep only distcd 2nd digit = 2 or 3.  Define firms as quarterly, semi-annual, or annual payers based on payment history.  Define a consistent payer as a firm that paid quarterly or semi-annual dividends for the past 18 months, or annual dividends for the past 2 years.  An omission is the first month where a consistent payer failed to pay a dividend over the past quarter/6-months/year.  Finally, DivOmit = 1 if there is an omission in the past 2 months and 0 otherwise"
DivSeason,Hartzmark and Salomon,2013,Dividend seasonality,JFE,"Drop if 3rd digit of distcd = 2 or >= 6.  Assign DivSeason = 0 if there was a dividend paid in the last 12 months.  Replace DivSeason = 1 if the third digit of disctcd is 3, 0, or 1, and a positive dividend was paid 2, 5, 8, or 11 months ago, if the third digit is 4 and a dividend was paid 5 or 11 months ago, or if the third digit is 5 and a dividiend was paid 11 months ago."
DivYieldST,Litzenberger and Ramaswamy,1979,Predicted div yield next month,JF,"Using CRSP distributions, keep only distcd beginning in 12 and if the third digit of distcd is 3, 4, or 5.  Also keep only if stock paid a dividend in the last 12 months.  Define Ediv1 = div 2 months ago if distcd's 3rd digit is 0, 1, or 3.  Define Ediv1 = div 5 months ago if the distcd 3rd digit is 4.  Define Ediv = div 11 months ago if the distcd 3rd digit is 5.  Define Edy1 as Ediv1/abs(prc).  Finally, discretize Edy1 to smooth around the huge mass at 0 as follows: DivYieldST = 0 if Edy1 = 0, 1 if Edy is between 0 and 0.005, 2 if Edy1 is between 0.005 and 0.010, and 3 if Edy > 0.010."
dNoa,"Hirshleifer, Hou, Teoh, Zhang",2004,change in net operating assets,JAE,"12-month growth in Net Operating Assets scaled by lagged total assets (at). Net Operating assets are operating assets minus operating liabilities. Operating assets are total assets (at) minus cash- and short-term investments (che), operating liabilities are total assets minus long-term debt (dltt), minority interest (mib), deferred charges (dlc), book equity (ceq) and preferred stock (pstk), all items (except at and ceq) replaced with 0 if missing."
DolVol,"Brennan, Chordia, Subra",1998,Past trading volume,JFE,Log of two-month lagged trading volume (vol) times two-month lagged price (prc).
EarningsConsistency,Alwathainani,2009,Earnings consistency,BAR,"Average earnings growth over previous 48 months. Earnings growth is defined as EPS (epspx) minus EPS 12 months ago divided by average EPS 12 and 24 months ago. Exclude if price less than 5, absolute value of 12 month earnings growth greater 600%, or earnings growth and earnings growth 12 months ago have different signs."
EarningsForecastDisparity,Da and Warachka,2011,Long-vs-short EPS forecasts,JFE,Analyst forecasted 5-year earnings growth (fgr5yr) minus 100 times the difference between mean earnings forecast (meanest) and fiscal year earnings expectations (fy0a) scaled by the absolute value of fy0a.  Drop if fpedats is missing or fpedats - statpers < 30
EarningsStreak,Loh and Warachka,2012,Earnings surprise streak,MS,Use fpi == 6 and only the last statpers for each anndats_act.  Define surp = (actual - meanest)/price.  Define a firm-anndats as a streak if surp has the same sign as the most recent surp observation.  Keep only streaks.  Then define signal = surp.
EarningsSurprise,"Foster, Olsen and Shevlin",1984,Earnings Surprise,AR,"EPS (epspxq) minus EPS twelve months ago - Drift, scaled by standard deviation of that expression. Drift is the average earnings growth (EPS - EPS twelve months ago) over the past two years. Exclude if price less than 5"
EarnSupBig,Hou,2007,Earnings surprise of big firms,RFS,Average monthly value of EarningsSurprise (defined above) of the 30% largest companies by market value of equity in the same Fama-French 48 industry. Exclude the largest 30% of companies for EarnSupBig (not to compute the anomaly)
EBM,"Penman, Richardson and Tuna",2007,Enterprise component of BM,JAR,(ceq + che - dltt - dlc - dc - dvpa+ tstkp ) / (mve\_c + che - dltt - dlc - dc - dvpa+ tstkp). Exclude if price less than 5.
EntMult,Loughran and Wellman,2011,Enterprise Multiple,JFQA,"Market value of equity + long-term debt (dltt) + debt in current liabilities (dlc) + deferred charges (dc) - cash and short-term investments (che) , divided by operating income (oibdp). Exclude if missing book equity or negative operating income."
EP,Basu,1977,Earnings-to-Price Ratio,JF,"ib / lag(market value of equity, 6 months).  NYSE stocks only.  Exclude if EP < 0.  Lag simulates the Dec 31 market equity used in original paper"
EquityDuration,"Dechow, Sloan and Soliman",2004,Equity Duration,RAS,see code
ExchSwitch,Dharan and Ikenberry,1995,Exchange Switch,JF,"Binary variable equal to 1 if a firm switched from AMEX or NASDAQ to NYSE within the past year, or from NASDAQ to AMEX within the past year."
ExclExp,"Doyle, Lundholm and Soliman",2003,Excluded Expenses,RAS,Difference between unadjusted earnings (EPSActualUnadj) from IBES and quarterly earnings per share (epspiq). Exclude the highest and lowest 1% of values.
FEPS,"Cen, Wei, and Zhang",2006,Analyst earnings per share,WP,"Using IBES unadjusted forecasts, keep fpi == 1, signal is meanest."
fgr5yrLag,La Porta,1996,Long-term EPS forecast,JF,"Lag long-term earnings forecast (fgr5yr) by 6 months.   Then keep only June observations, and fill in missing with most recent obs.  Exclude if book equity (ceq), net income (ib), deferred taxes (txdi), dividends (dvp), revenue (sale) or depreciation (dp) is missing.  Keep only"
FirmAgeMom,Zhang,2004,Firm Age - Momentum,JF,"6 month return, restricted to the bottom quintile of the cross-sectional firm age distribution. Exclude if price less than 5 or firm younger than 12 months."
ForecastDispersion,"Diether, Malloy and Scherbina",2002,EPS Forecast Dispersion,JF,Keep fpi = 1 and fpedats > statpers + 30.  Standard deviation of earnings estimates (stdev\_est) scaled by mean earnings estimate.
Frontier,Nguyen and Swanson,2009,Efficient frontier index,JFQA,"Frontier is the residual of a regression of log(BM) on log(book equity (ceq)), long-term debt (dltt) to assets (at), capital expenditures (capx) to revenue (sale), R&D expense (xrd) to revenue, advertising expense (xad) to revenue, property plant and equipment (ppent) to assets, EBIT (ebitda) to assets, and dummies for Fama-French's 48 industry definitions. Regression is updated each month with a rolling window of 60 months."
Governance,"Gompers, Ishii and Metrick",2003,Governance Index,QJE,"Index available from http://fac
ulty.som.yale.edu/andrewmetrick/data.html . The index is only available every 2-3 years for each firm, we replace intermediate missing values with the latest available one.  Value-weighted."
GP,Novy-Marx,2013,gross profits / total assets,JFE,"Revenue (sale) - cost of goods solds (cogs), divided by  total assets (at).  Drop if financial."
GrAdExp,Lou,2014,Growth in advertising expenses,RFS,"Log of advertising expense (xad) minus log of advertising expense last year. Exclude if price less than 5, xad less than .1 or stock in the lowest decile of market value of equity."
grcapx,Anderson and Garcia-Feijoo,2006,Change in capex (two years),JF,"Growth rate of capital expenditures (capx) relative to two years ago.   If capx is missing, replace with annual change in property, plant and equipment (ppent)."
grcapx3y,Anderson and Garcia-Feijoo,2006,Change in capex (three years),JF,"Capital expenditures (capx) divided by the sum of capital expenditures from year - 1, year -2, and year -3.   If capx is missing, replace with annual change in property, plant and equipment (ppent)."
Herf,Hou and Robinson,2006,Industry concentration (sales),JF,"Three-year rolling average of the three digit industry Herfindahl index based on firm revenue (sale). Exclude regulated industries (4011, 4210, 4213 & year $\leq$ 1980; 4512 & year $\leq$ 1978, 4812, 4813 & year $\leq$ 1982, 4900-4999 in any year)"
HerfBE,Hou and Robinson,2006,Industry concentration (equity),JF,"Three-year rolling average of the three digit industry Herfindahl index based on firm book equity. Exclude regulated industries (4011, 4210, 4213 & year $\leq$ 1980; 4512 & year $\leq$ 1978, 4812, 4813 & year $\leq$ 1982, 4900-4999 in any year)"
hire,"Bazdresch, Belo and Lin",2014,Employment growth,JPE,"Change in number of employees (emp) between t -1 and t, scaled by average number of employees in t-1 and t. Replace hire with 0 if emp or lagged emp is missing."
IdioRisk,Ang et al.,2006,Idiosyncratic risk,JF,Standard deviation of residuals from CAPM regressions using the past month of daily data.  Value weighted
IdioVol3F,Ang et al.,2006,Idiosyncratic risk (3 factor),JF,Standard deviation of residuals from Fama-French three factor regressions using the past month of daily data.  Value weighted
IdioVolAHT,"Ali, Hwang, and Trombley",2003,Idiosyncratic risk (AHT),JFE,Standard deviation of residuals from CAPM regressions using the past year of daily data. Require at least 100 non-missing observations.
Illiquidity,Amihud,2002,Amihud's illiquidity,JFM,Past twelve month average of: daily return (abs(ret)) divided by turnover((abs(prc)*vol)
IndIPO,Ritter,1991,Initial Public Offerings,JF,1 if IPO in the past 6-36 months.  0 otherwise.  IPO dates are taken from Jay Ritter's IPO data available at: http://bear.warrington.ufl.edu/ritter/ipodata.htm.  Missing IPO dates imply IndIPO = 0
IndMom,Grinblatt and Moskowitz,1999,Industry Momentum,JFE,Weighted average of firm-level 6 month buy-and-hold return. Average is taken over two digit industries each month and weights are based on market value of equity.
IndRetBig,Hou,2007,Industry return of big firms,RFS,Average monthly return (ret) of the 30% largest companies by market value of equity in the same Fama-French 48 industry. Exclude the largest 30% of companies for IndRetBig (not to compute the anomaly!)
IntanBM,Daniel and Titman,2006,Intangible return using BM,JF,"In each month, run a cross-sectional regression of a firm's five-year stock return on 5 year lagged BM (defined above) and a constructed regressor that is the change in BM from 5 years ago to today plus the five-year stock return. The residual from that regression is IntanBM."
IntanCFP,Daniel and Titman,2006,Intangible return using CFtoP,JF,"In each month, run a cross-sectional regression of a firm's five-year stock return on the 5 year lagged  CFP = (net income (ni) plus depreciation (dp))/market value of equity and a constructed regressor that is the change in CFP from 5 years ago to today plus the five-year stock return. The residual from that regression is IntanCFP.
"
IntanEP,Daniel and Titman,2006,Intangible return using EP,JF,"In each month, run a cross-sectional regression of a firm's five-year stock return on the 5 year lagged  EP = net income (ni)/market value of equity and a constructed regressor that is the change in EP from 5 years ago to today plus the five-year stock return. The residual from that regression is IntanEP.
"
IntanSP,Daniel and Titman,2006,Intangible return using Sale2P,JF,"In each month, run a cross-sectional regression of a firm's five-year stock return on 5 year lagged SP (defined above) and a constructed regressor that is the change in SP from 5 years ago to today plus the five-year stock return. The residual from that regression is IntanSP."
IntMom,Novy-Marx,2012,Intermediate Momentum,JFE,Stock return between months t-12 and t-6
Investment,"Titman, Wei and Xie",2004,Investment to revenue,JFQA,Ratio of capital investment (capx) to revenue (revt) divided by the firm-specific 36-month rolling mean of that ratio. Exclude if revenue less than \$10m.
InvestPPEInv,"Lyandres, Sun and Zhang",2008,change in ppe and inv/assets,RFS,"One-year change in property, plants and equipment (ppegt) plus one year change in inventory (invt), scaled by one-year lagged assets (at)."
InvGrowth,Belo and Lin,2012,Inventory Growth,RFS,"Defate invt growth using gnp deflator.  Signal is deflated invt growth rate from fiscal year t to fiscal year t-1.  Drop if 1 digit sic code is 4 or 6, or if at or ppent <= 0"
iomom_cust,Menzly and Ozbas,2010,Customers momentum,JF,"We download BEA data as follows: Pre-1996: https://www.bea.gov/industry/input-output-accounts-data, Click: ""Historical Make-Use Tables"". 1997-present: download zip file: https://apps.bea.gov//industry/iTables%20Static%20Files/AllTablesSUP.zip. But keep only Supply_1997-2018_SUM.xlsx (a.k.a. Make)  and Use_SUT_Framework_1997-2018_SUM.xlsx (a.k.a. Use). Assume these data are available 5 years after the survey year in the spreadsheet.  Match Compustat firm-years to the BEA data by NAICS code.  Compute returns within each BEA industry (we're using the roughly 70 industry version).  Then match each industry-year to ""matched-industry weights"" corresponding to IO tables as follows: for supplier momentum, industry comes from cols of ""Use"" table, matched industries from the rows.  For customer momentum: industry comes from rows of make (a.k.a. supply) table, matched industries come from cols.  Weights exclude own-industry entries.  For each industry-month, compute the weighted average of returns of matched industries using previously mentioned weights.  Then we sort industries into deciles based on matched returns. Then we assign each firm-month to an industry decile.  Finally, we long stocks in industry deciles 8-10 and short stocks in industry decile 1.  Drop pre-1986 due to NAICS availability.  
"
iomom_supp,Menzly and Ozbas,2010,Suppliers momentum,JF,"We download BEA data as follows: Pre-1996: https://www.bea.gov/industry/input-output-accounts-data, Click: ""Historical Make-Use Tables"". 1997-present: download zip file: https://apps.bea.gov//industry/iTables%20Static%20Files/AllTablesSUP.zip. But keep only Supply_1997-2018_SUM.xlsx (a.k.a. Make)  and Use_SUT_Framework_1997-2018_SUM.xlsx (a.k.a. Use). Assume these data are available 5 years after the survey year in the spreadsheet.  Match Compustat firm-years to the BEA data by NAICS code.  Compute returns within each BEA industry (we're using the roughly 70 industry version).  Then match each industry-year to ""matched-industry weights"" corresponding to IO tables as follows: for supplier momentum, industry comes from cols of ""Use"" table, matched industries from the rows.  For customer momentum: industry comes from rows of make (a.k.a. supply) table, matched industries come from cols.  Weights exclude own-industry entries.  For each industry-month, compute the weighted average of returns of matched industries using previously mentioned weights.  Then we sort industries into deciles based on matched returns. Then we assign each firm-month to an industry decile.  Finally, we long stocks in industry deciles 8-10 and short stocks in industry decile 1.   Drop pre-1986 due to NAICS availability.  
"
Leverage,Bhandari,1988,Market leverage,JFE,Total liabilities (lt) divided by market value of equity.
LRreversal,De Bondt and Thaler,1985,Long-run reversal,JF,Stock return between months t-36 and t-13.
MaxRet,"Bali, Cakici, and Whitelaw",2010,Maximum return over month,JF,Maximum of daily returns (ret) over the previous month
MeanRankRevGrowth,"Lakonishok, Shleifer, Vishny",1994,Revenue Growth Rank,JF,"Rank firms by their annual revenue growth each year over the past 5 years. MeanRankRevGrowth is the weighted average of ranks over the past 5 years, that is, MeanRankRevGrowth = (5*Rank$_{t-1}$ + 4*Rank$_{t-2}$ + 3*Rank$_{t-3}$ + 2*Rank$_{t-4}$ + 1*Rank$_{t-5}$)/15. Exclude NASDAQ stocks."
Mom12m,Jegadeesh and Titman,1993,Momentum (12 month),JF,Stock return between months t-12 and t-1
Mom12mOffSeason,Heston and Sadka,2008,Momentum without the seasonal part,JFE,Average return in  other months over the previous year.
Mom6m,Jegadeesh and Titman,1993,Momentum (6 month),JF,Stock return between months t-6 and t-1
Mom6mJunk,Avramov et al,2007,Junk Stock Momentum,JF,Mom6m. Include only stocks with a credit rating (splticrm) of BBB or lower
MomOffSeason,Heston and Sadka,2008,Off season long-term reversal,JFE,Average return in other months over the preceding 2-5 years.
MomOffSeason06YrPlus,Heston and Sadka,2008,Off season reversal years 6 to 10,JFE,Average return in other months over the preceding 6-10 years.
MomOffSeason16YrPlus,Heston and Sadka,2008,Off season reversal years 16 to 20,JFE,Average return in other months over the preceding 16-20 years.
MomRev,Chan and Ko,2006,Momentum and LT Reversal,JOIM,"Binary variable equal to 1 if firm is in the highest Mom6m quintile and the lowest Mom36m quintile, and equal to 0 if firm is in the lowest Mom6m quintile and the highest Mom36m quintile. Exclude if price less than 5."
MomSeason,Heston and Sadka,2008,Return seasonality years 2 to 5,JFE,Average return in the same month over the preceding 2-5 years.
MomSeason06YrPlus,Heston and Sadka,2008,Return seasonality years 6 to 10,JFE,Average return in the same month over the preceding 6-10 years.
MomSeason11YrPlus,Heston and Sadka,2008,Return seasonality years 11 to 15,JFE,Average return in the same month over the preceding 11-15 years.
MomSeason16YrPlus,Heston and Sadka,2008,Return seasonality years 16 to 20,JFE,Average return in the same month over the preceding 16-20 years.
MomSeasonShort,Heston and Sadka,2008,Return seasonality last year,JFE,Average return in the same monthin the previous year.
MomVol,Lee and Swaminathan,2000,Momentum in high volume stocks,JF,"Define momentum as Mom6m, and volume as the rolling average of the past 6 months of monthly turnover (minimum 5 months).  Independent sort stocks into 10 momentum ports and 3 volume ports. Keep if volume is in the top port, and assign signal = momentum port.  Drop if less than 2 years on CRSP."
MS,Mohanram,2005,Mohanram G-score,RAS,"See code for details.  MS is only evaluated for low BM firms and comes from combining three signals related to profitability and cash flow, two signals related to income volatility, and three signals related to investment."
NetDebtFinance,"Bradshaw, Richardson, Sloan",2006,Net debt financing,JAE,"Long-term debt issuance (dltis) minus long-term debt reduction (dltr) minus current debt changes (dlcch), scaled by average total assets (at) in years t-1 and t. Replace missing values of dlcch with 0. Exclude if ratio is greater than 1."
NetDebtPrice,"Penman, Richardson and Tuna",2007,Net debt to price,JAR,"Long-term debt (dltt) plus debt in current liabilities (dlc) plus preferred stock (pstk) plus preferred dividends in arrears (dvpa) minus treasury stock (tstkp) minus cash and short-term investments (che), scaled by market value of equity. Exclude if SIC between 6000 and 6999, or if missing value for total assets (at), net income (ib), common shares outstanding (csho), book value of equity (ceq) or price close fiscal year (prcc\_f).  Keep only 3rd B/M Quintile, following Table 4 (and in contrast to Table 1)."
NetEquityFinance,"Bradshaw, Richardson, Sloan",2006,Net equity financing,JAE,"Sale of common stock (sstk) minus  purchase of common stock (prstkc), scaled by average total assets (at) from years t and t-1. Exclude if absolute value of ratio is greater than 1."
NetPayoutYield,Boudoukh et al.,2007,Net Payout Yield,JF,"Dividends (dvc) plus purchase of common and preferred stock (prstkc) minus sale of common and preferred stock (sstk), divided by market value of equity lagged 6 months.  Exclude if NetPayoutYield is 0, financial firm based on SIC code, ceq <= 0, or less than 2 years in CRSP"
NOA,Hirshleifer et al.,2004,Net Operating Assets,JAE,"Difference between operating assets and operating liabilities, scaled by lagged total assets. Operating assets are total assets (at) minus cash- and short-term investments (che), operating liabilities are total assets minus long-term debt (dltt), minority interest (mib), deferred charges (dc) and book equity (ceq)."
OPLeverage,Novy-Marx,2010,Operating leverage,ROF,"Sum of administrative expenses (xsga) and cost of goods sold (cogs), scaled by total assets (at).  Use xsga = 0 if xsga is missing."
OptionVolume1,Johnson and So,2012,Option to stock volume,JFE,"Total monthly option volume (volume) over all puts and calls, divided by monthly stock trading volume (vol). Exclude if price less than 1 or share code greater 11 or option volume or stock volume data are missing for the previous month."
OrderBacklog,"Rajgopal, Shevlin, Venkatachalam",2003,Order backlog,RAS,Order backlog (ob) divided by average total assets (at) in years t-1 and t. Exclude if order backlog is 0.
OrderBacklogChg,Baik and Ahn,2007,Change in order backlog,Other,Define normalized order backlog  as order backlog (ob) divided by average total assets (at) in years t-1 and t. Exclude if order backlog is 0.  Signal is normalized order backlog minus normalized order backlog one year ago.
