Statistic,Observations,Mean,St. Dev.,Min,Max
OperProf,469,0.656,3.837,-25.482,19.821
OperProfRD,469,0.729,4.207,-14.319,17.573
OPLeverage,469,0.382,3.219,-12.448,20.636
OrderBacklog,469,0.17,2.322,-6.668,15.793
OrderBacklogChg,469,0.339,3.27,-18.4,13.777
OrgCap,469,0.323,2.775,-9.781,10.794
OScore,469,0.886,5.441,-42.958,20.473
PayoutYield,469,0.322,2.867,-7.921,16.252
PctAcc,469,0.351,1.678,-6.015,6.491
Price,469,0.008,6.993,-24.763,66.167
PriceDelayRsq,469,0.288,3.896,-11.478,17.816
PriceDelaySlope,469,0.102,2.033,-7.634,15.144
PriceDelayTstat,469,0.098,1.973,-8.09,9.046
PS,469,0.902,6.964,-35.133,38.784
RD,469,1.042,5.559,-15.36,50.778
RDAbility,469,0.176,3.219,-9.004,11.001
RDcap,469,0.356,3.375,-9.062,20.938
RDIPO,469,0.734,3.711,-19.89,13.275
RDS,469,0.249,2.069,-5.687,11.689
realestate,469,0.282,2.99,-15.254,10.758
ResidualMomentum,469,0.883,3.392,-15.848,17.812
ReturnSkew,469,0.278,2.021,-16.292,9.693
ReturnSkew3F,469,0.143,1.55,-10.418,10.154
REV6,469,0.915,4.488,-34.365,13.884
RevenueSurprise,469,0.575,1.599,-12.942,8.592
RIO\_Disp,469,0.489,3.688,-16.199,16.476
RIO\_MB,469,0.573,3.522,-10.984,26.022
RIO\_Turnover,469,0.497,3.699,-11.189,16.599
RIO\_Volatility,469,0.909,4.203,-14.138,14.867
roaq,469,1.383,5.255,-33.468,20.436
RoE,469,0.353,2.74,-22.07,14.631
sfe,469,0.629,6.464,-54.813,22.05
ShareIss1Y,469,0.679,2.68,-13.69,10.704
ShareIss5Y,469,0.439,2.09,-8.017,7.531
ShareRepurchase,469,0.21,1.658,-8.351,5.595
ShareVol,469,0.348,3.255,-11.186,9.478
ShortInterest,469,0.901,3.123,-11.279,16.331
sinAlgo,469,0.575,3.582,-12.926,35.224
Size,469,0.055,3.111,-10.996,16.717
SP,469,0.912,4.122,-24.973,20.102
Spinoff,469,0.146,3.121,-15.856,16.214
std\_turn,469,0.612,6.171,-45.882,25.169
STreversal,469,1.929,6.914,-36.215,79.641
SurpriseRD,469,0.187,1.835,-5.727,16.496
tang,469,0.486,3.734,-12.06,38.707
Tax,469,0.522,2.093,-16.418,11.112
TotalAccruals,469,0.233,2.866,-7.848,16.371
TrendFactor,469,1.176,4.085,-17.589,43.043
VarCF,469,-0.214,4.995,-31.028,13.989
VolMkt,469,0.534,4.734,-21.351,21.094
VolSD,469,0.188,3.235,-15.436,15.06
VolumeTrend,469,0.701,2.449,-8.025,11.775
XFIN,469,1.199,5.176,-36.399,24.539
zerotrade,469,0.454,4.532,-20.078,16.976
zerotradeAlt1,469,0.544,4.195,-27.511,15.773
zerotradeAlt12,469,0.311,3.722,-20.731,15.93
